,Position,Track Name,Artist,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1,Pura Pura Lupa,Mahen,2020-01-02,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
1,1,Pura Pura Lupa,Mahen,2020-01-09,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
2,1,Pura Pura Lupa,Mahen,2020-01-16,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
3,2,Pura Pura Lupa,Mahen,2020-01-23,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
4,4,Pura Pura Lupa,Mahen,2020-01-30,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
5,5,Pura Pura Lupa,Mahen,2020-02-06,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
6,4,Pura Pura Lupa,Mahen,2020-02-13,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
7,5,Pura Pura Lupa,Mahen,2020-02-20,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
8,11,Pura Pura Lupa,Mahen,2020-02-27,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
9,14,Pura Pura Lupa,Mahen,2020-03-05,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
10,16,Pura Pura Lupa,Mahen,2020-03-12,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
11,21,Pura Pura Lupa,Mahen,2020-03-19,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
12,40,Pura Pura Lupa,Mahen,2020-03-26,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.000764,0.146,0.14,111.903,246964,4
13,2,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-02,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
14,6,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-09,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
15,8,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-16,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
16,8,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-23,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
17,9,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-30,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
18,8,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-02-06,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
19,23,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-02-13,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
20,39,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-02-20,0Q2n5yzl2XRqYbV77tZNYp,0.907,0.539,4,-7.782,1,0.36,0.0408,0.0,0.253,0.664,124.918,150115,4
21,3,Blueberry faygo,Yung Anime,2020-01-02,4ADzhwPWMQaTXNnEP8gXnQ,0.83,0.4,0,-11.032,1,0.0614,0.0224,7.39e-06,0.107,0.302,99.012,142068,4
22,4,Catriona,Matthaios,2020-01-02,4YMfE4r1JWADFw2Fn74XW2,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,204513,4
23,7,Catriona,Matthaios,2020-01-09,4YMfE4r1JWADFw2Fn74XW2,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,204513,4
24,10,Catriona,Matthaios,2020-01-16,4YMfE4r1JWADFw2Fn74XW2,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,204513,4
25,17,Catriona,Matthaios,2020-01-23,4YMfE4r1JWADFw2Fn74XW2,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,204513,4
26,34,Catriona,Matthaios,2020-01-30,4YMfE4r1JWADFw2Fn74XW2,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,204513,4
27,5,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-02,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
28,4,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-09,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
29,6,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-16,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
30,7,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-23,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
31,11,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-01-30,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
32,14,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-02-06,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
33,26,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-02-13,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
34,43,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2020-02-20,4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
35,6,Falling,Trevor Daniel,2020-01-02,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
36,10,Falling,Trevor Daniel,2020-01-09,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
37,12,Falling,Trevor Daniel,2020-01-16,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
38,16,Falling,Trevor Daniel,2020-01-23,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
39,25,Falling,Trevor Daniel,2020-01-30,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
40,21,Falling,Trevor Daniel,2020-02-06,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
41,30,Falling,Trevor Daniel,2020-02-13,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
42,32,Falling,Trevor Daniel,2020-02-20,4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,4
43,7,No Idea,Don Toliver,2020-01-02,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
44,9,No Idea,Don Toliver,2020-01-09,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
45,14,No Idea,Don Toliver,2020-01-16,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
46,24,No Idea,Don Toliver,2020-01-23,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
47,40,No Idea,Don Toliver,2020-01-30,3VyjsVV24RmBIbWJAeUJNu,0.651,0.631,6,-5.717,0,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,4
48,8,The Box,Roddy Ricch,2020-01-02,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
49,2,The Box,Roddy Ricch,2020-01-09,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
50,3,The Box,Roddy Ricch,2020-01-16,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
51,1,The Box,Roddy Ricch,2020-01-23,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
52,2,The Box,Roddy Ricch,2020-01-30,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
53,3,The Box,Roddy Ricch,2020-02-06,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
54,8,The Box,Roddy Ricch,2020-02-13,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
55,13,The Box,Roddy Ricch,2020-02-20,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
56,19,The Box,Roddy Ricch,2020-02-27,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
57,24,The Box,Roddy Ricch,2020-03-05,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
58,31,The Box,Roddy Ricch,2020-03-12,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
59,30,The Box,Roddy Ricch,2020-03-19,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
60,45,The Box,Roddy Ricch,2020-03-26,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
61,9,Bütün Istanbul Biliyo,İkiye On Kala,2020-01-02,0V0bWil6rS8w4Xbn6eGwCQ,0.649,0.437,0,-16.355,1,0.0759,0.367,0.0385,0.123,0.385,82.056,150000,4
62,11,Bütün Istanbul Biliyo,İkiye On Kala,2020-01-09,0V0bWil6rS8w4Xbn6eGwCQ,0.649,0.437,0,-16.355,1,0.0759,0.367,0.0385,0.123,0.385,82.056,150000,4
63,18,Bütün Istanbul Biliyo,İkiye On Kala,2020-01-16,0V0bWil6rS8w4Xbn6eGwCQ,0.649,0.437,0,-16.355,1,0.0759,0.367,0.0385,0.123,0.385,82.056,150000,4
64,29,Bütün Istanbul Biliyo,İkiye On Kala,2020-01-23,0V0bWil6rS8w4Xbn6eGwCQ,0.649,0.437,0,-16.355,1,0.0759,0.367,0.0385,0.123,0.385,82.056,150000,4
