Position,Track Name,Artist,URL,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cases
1,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-02,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,0.0
1,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-09,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,0.0
1,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-16,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,0.0
2,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-23,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,655.0
4,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-01-30,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,8235.0
5,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-02-06,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,30803.0
4,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-02-13,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,60382.0
5,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-02-20,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,76212.0
11,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-02-27,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,82736.0
14,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,2020-03-05,6Aw5k0jkFceYayaJoRupLT,0.529,0.446,11,-9.167,1,0.0294,0.757,0.0007639999999999999,0.146,0.14,111.90299999999999,246964,4,98090.0
