Position,"Track Name",Artist,URL
1,"Mayonaka no Door / Stay With Me","Miki Matsubara",https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA
2,"Dicked Down in Dallas","Trey Lewis",https://open.spotify.com/track/1yhft6ZqYadd4GOrKrmK3a
3,Mmmh,KAI,https://open.spotify.com/track/5dntGTbUtmUO239wQ0k3yM
4,"Bir Sebebi Var",İkilem,https://open.spotify.com/track/3wzk1F5yzkOl6aJE81pNkB
5,"Resah Jadi Luka","Daun Jatuh",https://open.spotify.com/track/3a0BOn9fWnTCUqWpqE71Bb
6,Violent,carolesdaughter,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
7,"Space Girl","Frances Forever",https://open.spotify.com/track/7FjIYiD53wxlQmzTT6Wdpf
8,Given-Taken,ENHYPEN,https://open.spotify.com/track/69WpV0U7OMNFGyq8I63dcC
9,Sensitive,"Serena Isioma",https://open.spotify.com/track/0oHEteATZnAZuA9dl1dXF3
10,"Blue Jeans",GANGGA,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
11,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
12,"Hecha Pa' Mi",Boza,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
13,"Kusura Bakma",Tuğkan,https://open.spotify.com/track/7ng3MkDXpSUVFQEhN6vtqG
14,"Amor ou o Litrão","Petter Ferraz",https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
15,"WITHOUT YOU","The Kid LAROI",https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
16,Bertaut,"Nadin Amizah",https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
17,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
18,"Touch You",遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm
19,"ıslak kum",Contra,https://open.spotify.com/track/3XeMdSHi48X0XsDHckDhIM
20,"Seni Dert Etmeler",Madrigal,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
21,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
22,"Si Me Tomo Una Cerveza",Migrantes,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
23,"At My Worst","Pink Sweat$",https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
24,Rät,"Penelope Scott",https://open.spotify.com/track/25z6kpmIwkCUqk2IORrJ5v
25,"Day & Night","Jung Seung Hwan",https://open.spotify.com/track/1j5oDtBWVtNoVHMi2n6Fkz
26,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
27,"Kaikai Kitan",Eve,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
28,"Mungkin Hari Ini Esok Atau Nanti",Anneth,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
29,Makina,UZI,https://open.spotify.com/track/2huQiKGkgUfp4WjnVRSobL
30,Concedimi,"Matteo Romano",https://open.spotify.com/track/0pFjYM7JdNJhjuooMgesks
31,"Dancing in My Room",347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
32,Home,"Edith Whiskers",https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR
33,Hayloft,"Mother Mother",https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
34,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
35,"Eu Vou Tirar Você Do Cabaré","Israell Muniz",https://open.spotify.com/track/4dkMmfrNEIUMjoEIFHA2yy
36,"Yıldızlara Bak","Yaşlı Amca",https://open.spotify.com/track/5jSjin6KJMH6WT68YnE7bW
37,"L-Gante Rkt","Papu DJ",https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
38,ドライフラワー,優里,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
39,"Line Without a Hook","Ricky Montgomery",https://open.spotify.com/track/5NvOZCjZaGGGL597exlQWv
40,"SO BAD",STAYC,https://open.spotify.com/track/13KR2yNRDrbKwR3dOKCDl4
41,"LOST IN PARADISE",ALI,https://open.spotify.com/track/7kRKlFCFLAUwt43HWtauhX
42,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF
43,"Black Mamba",aespa,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
44,DRUGS,"Tai Verdes",https://open.spotify.com/track/0ooz46SAYMJsdOPnwW4nKK
45,silent,"SEKAI NO OWARI",https://open.spotify.com/track/6c5k0VC9TBzlcKwtjpzFW2
46,HOLIDAY,"Lil Nas X",https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
47,"How To Make Gravy","Paul Kelly",https://open.spotify.com/track/72tIvJRS5lTCjWQRjwjBQC
48,"fools (can't help falling in love) (feat. Sody)",Foster,https://open.spotify.com/track/4VEEDnEFLI9dUy5QA51rom
49,Body,"Megan Thee Stallion",https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
50,DÁKITI,"Bad Bunny",https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
